Suburb,States,Postcode,Longitude,Lattitude
ACTON,ACT,2601,149.12,-35.28
AINSLIE,ACT,2602,149.14,-35.26
AMAROO,ACT,2914,149.12,-35.17
ARANDA,ACT,2614,149.08,-35.26
BANKS,ACT,2906,149.09,-35.47
BARTON,ACT,2600,149.13,-35.31
BEARD,ACT,2620,149.21,-35.34
BELCONNEN,ACT,2617,149.07,-35.24
BONNER,ACT,2914,149.14,-35.16
BONYTHON,ACT,2905,149.08,-35.43
BRADDON,ACT,2612,149.13,-35.26
BRUCE,ACT,2617,149.08,-35.24
CALWELL,ACT,2905,149.11,-35.44
CAMPBELL,ACT,2612,149.15,-35.29
CAPITAL HILL,ACT,2600,149.13,-35.31
CASEY,ACT,2913,149.1,-35.18
CHAPMAN,ACT,2611,149.04,-35.36
CHARNWOOD,ACT,2615,149.03,-35.21
CHIFLEY,ACT,2606,149.08,-35.35
CHISHOLM,ACT,2905,149.13,-35.41
CITY,ACT,2601,149.13,-35.28
CONDER,ACT,2906,149.09,-35.46
COOK,ACT,2614,149.06,-35.26
CRACE,ACT,2911,149.11,-35.2
CURTIN,ACT,2605,149.08,-35.33
DEAKIN,ACT,2600,149.11,-35.31
DICKSON,ACT,2602,149.14,-35.25
DOWNER,ACT,2602,149.15,-35.24
DUFFY,ACT,2611,149.03,-35.34
DUNLOP,ACT,2615,149.02,-35.2
EVATT,ACT,2617,149.07,-35.21
FADDEN,ACT,2904,149.12,-35.41
FARRER,ACT,2607,149.1,-35.38
FISHER,ACT,2611,149.06,-35.36
FLOREY,ACT,2615,149.05,-35.23
FLYNN,ACT,2615,149.04,-35.2
FORDE,ACT,2914,149.14,-35.17
FORREST,ACT,2603,149.13,-35.32
FRANKLIN,ACT,2913,149.13,-35.2
FRASER,ACT,2615,149.04,-35.19
FYSHWICK,ACT,2609,149.18,-35.33
GARRAN,ACT,2605,149.11,-35.34
GILMORE,ACT,2905,149.14,-35.42
GIRALANG,ACT,2617,149.1,-35.22
GORDON,ACT,2906,149.08,-35.45
GOWRIE,ACT,2904,149.11,-35.41
GREENWAY,ACT,2900,149.07,-35.42
GRIFFITH,ACT,2603,149.13,-35.32
GUNGAHLIN,ACT,2912,149.13,-35.18
HACKETT,ACT,2602,149.16,-35.25
HALL,ACT,2618,149.07,-35.17
HARRISON,ACT,2914,149.15,-35.2
HAWKER,ACT,2614,149.04,-35.24
HIGGINS,ACT,2615,149.03,-35.23
HOLDER,ACT,2611,149.04,-35.34
HOLT,ACT,2615,149.02,-35.22
HUGHES,ACT,2605,149.09,-35.33
HUME,ACT,2620,149.17,-35.39
ISAACS,ACT,2607,149.11,-35.37
ISABELLA PLAINS,ACT,2905,149.09,-35.43
KALEEN,ACT,2617,149.1,-35.22
KAMBAH,ACT,2902,149.07,-35.39
KINGSTON,ACT,2604,149.14,-35.31
LATHAM,ACT,2615,149.03,-35.22
LAWSON,ACT,2617,149.1,-35.22
LYNEHAM,ACT,2602,149.13,-35.24
LYONS,ACT,2606,149.08,-35.34
MACARTHUR,ACT,2904,149.13,-35.41
MACGREGOR,ACT,2615,149.01,-35.21
MACQUARIE,ACT,2614,149.06,-35.25
MAWSON,ACT,2607,149.1,-35.36
MCKELLAR,ACT,2617,149.07,-35.22
MELBA,ACT,2615,149.05,-35.21
MITCHELL,ACT,2911,149.14,-35.22
MONASH,ACT,2904,149.09,-35.42
NARRABUNDAH,ACT,2604,149.15,-35.33
NGUNNAWAL,ACT,2913,149.11,-35.17
NICHOLLS,ACT,2913,149.1,-35.18
OAKS ESTATE,ACT,2620,149.23,-35.34
O'CONNOR,ACT,2602,149.12,-35.26
O'MALLEY,ACT,2606,149.11,-35.35
OXLEY,ACT,2903,149.08,-35.4
PAGE,ACT,2614,149.05,-35.24
PALMERSTON,ACT,2913,149.12,-35.2
PARKES,ACT,2600,149.13,-35.3
PEARCE,ACT,2607,149.08,-35.36
PHILLIP,ACT,2606,149.08,-35.34
PIALLIGO,ACT,2609,149.18,-35.3
RED HILL,ACT,2603,149.13,-35.34
REID,ACT,2612,149.14,-35.28
RICHARDSON,ACT,2905,149.12,-35.43
RIVETT,ACT,2611,149.04,-35.35
RUSSELL,ACT,2600,149.15,-35.3
SCULLIN,ACT,2614,149.04,-35.23
SPENCE,ACT,2615,149.06,-35.19
STIRLING,ACT,2611,149.05,-35.35
SYMONSTON,ACT,2609,149.15,-35.35
THARWA,ACT,2620,149.07,-35.51
THEODORE,ACT,2905,149.12,-35.45
TORRENS,ACT,2607,149.09,-35.37
TURNER,ACT,2612,149.13,-35.27
WANNIASSA,ACT,2903,149.1,-35.4
WARAMANGA,ACT,2611,149.06,-35.35
WATSON,ACT,2602,149.15,-35.24
WEETANGERA,ACT,2614,149.05,-35.25
WESTON,ACT,2611,149.06,-35.34
YARRALUMLA,ACT,2600,149.1,-35.31
AARONS PASS,NSW,2850,149.8,-32.89
ABBOTSBURY,NSW,2176,150.87,-33.87
ABBOTSFORD,NSW,2046,151.13,-33.85
ABERCROMBIE,NSW,2795,149.55,-33.39
